close,open,Thigh,low,volumn,datetime
96.2,96.2,96.2,96.2,17400,2021-11-05 02:15:00+00:00
96.3,96.3,96.3,96.3,3500,2021-11-05 02:16:00+00:00
96.3,96.3,96.3,96.3,10800,2021-11-05 02:17:00+00:00
96.4,96.3,96.4,96.2,8900,2021-11-05 02:18:00+00:00
96.3,96.4,96.4,96.3,4400,2021-11-05 02:19:00+00:00
96.4,96.3,96.4,96.2,17400,2021-11-05 02:20:00+00:00
96.4,96.3,96.4,96.2,8200,2021-11-05 02:21:00+00:00
96.4,96.4,96.4,96.3,12800,2021-11-05 02:22:00+00:00
96.4,96.4,96.4,96.4,7500,2021-11-05 02:23:00+00:00
96.4,96.3,96.4,96.3,7600,2021-11-05 02:24:00+00:00
96.4,96.4,96.5,96.4,11600,2021-11-05 02:25:00+00:00
96.4,96.4,96.5,96.4,3200,2021-11-05 02:26:00+00:00
96.4,96.4,96.4,96.4,5200,2021-11-05 02:27:00+00:00
96.4,96.4,96.4,96.4,5300,2021-11-05 02:28:00+00:00
96.4,96.3,96.4,96.3,4700,2021-11-05 02:29:00+00:00
96.3,96.3,96.3,96.3,3500,2021-11-05 02:30:00+00:00
96.3,96.3,96.3,96.3,9600,2021-11-05 02:31:00+00:00
96.3,96.3,96.3,96.3,2800,2021-11-05 02:32:00+00:00
96.3,96.3,96.3,96.3,32200,2021-11-05 02:33:00+00:00
96.3,96.3,96.3,96.3,2200,2021-11-05 02:34:00+00:00
96.3,96.3,96.3,96.3,4200,2021-11-05 02:35:00+00:00
96.2,96.2,96.3,96.2,16100,2021-11-05 02:36:00+00:00
96.1,96.2,96.2,96.1,6100,2021-11-05 02:37:00+00:00
96.1,96.1,96.1,96.0,5100,2021-11-05 02:38:00+00:00
96.0,96.1,96.2,96.0,7200,2021-11-05 02:39:00+00:00
96.1,96.0,96.1,96.0,300,2021-11-05 02:40:00+00:00
96.3,96.1,96.3,96.1,300,2021-11-05 02:41:00+00:00
96.3,96.3,96.3,96.3,5500,2021-11-05 02:42:00+00:00
96.1,96.2,96.2,96.1,300,2021-11-05 02:43:00+00:00
96.2,96.2,96.2,96.2,200,2021-11-05 02:44:00+00:00
96.1,96.2,96.2,96.0,7100,2021-11-05 02:45:00+00:00
96.2,96.2,96.2,96.2,1500,2021-11-05 02:46:00+00:00
96.1,96.2,96.2,96.1,10000,2021-11-05 02:47:00+00:00
96.1,96.1,96.1,96.0,5700,2021-11-05 02:48:00+00:00
96.2,96.1,96.2,96.1,2600,2021-11-05 02:49:00+00:00
96.2,96.2,96.2,96.1,13200,2021-11-05 02:50:00+00:00
96.1,96.2,96.2,96.1,6000,2021-11-05 02:51:00+00:00
96.2,96.1,96.2,96.1,1500,2021-11-05 02:52:00+00:00
96.2,96.2,96.2,96.2,8300,2021-11-05 02:53:00+00:00
96.2,96.2,96.2,96.2,100,2021-11-05 02:54:00+00:00
96.2,96.2,96.3,96.2,4200,2021-11-05 02:55:00+00:00
96.2,96.3,96.3,96.2,1900,2021-11-05 02:56:00+00:00
96.2,96.2,96.2,96.2,3200,2021-11-05 02:57:00+00:00
96.3,96.2,96.3,96.2,4100,2021-11-05 02:58:00+00:00
96.3,96.2,96.3,96.2,3200,2021-11-05 02:59:00+00:00
96.3,96.3,96.3,96.2,2000,2021-11-05 03:00:00+00:00
96.2,96.2,96.2,96.2,2300,2021-11-05 03:01:00+00:00
96.2,96.2,96.2,96.2,800,2021-11-05 03:02:00+00:00
96.2,96.2,96.2,96.2,1800,2021-11-05 03:03:00+00:00
96.2,96.2,96.2,96.2,4400,2021-11-05 03:04:00+00:00
96.2,96.2,96.2,96.2,2500,2021-11-05 03:05:00+00:00
96.2,96.2,96.2,96.2,100,2021-11-05 03:06:00+00:00
96.2,96.2,96.2,96.2,3600,2021-11-05 03:07:00+00:00
96.3,96.2,96.3,96.2,1300,2021-11-05 03:08:00+00:00
96.3,96.2,96.3,96.2,1300,2021-11-05 03:09:00+00:00
96.3,96.3,96.3,96.3,100,2021-11-05 03:10:00+00:00
96.2,96.2,96.2,96.2,300,2021-11-05 03:11:00+00:00
96.3,96.2,96.3,96.2,3000,2021-11-05 03:12:00+00:00
96.2,96.2,96.2,96.2,900,2021-11-05 03:13:00+00:00
96.3,96.2,96.3,96.2,500,2021-11-05 03:14:00+00:00
96.3,96.2,96.3,96.2,6300,2021-11-05 03:15:00+00:00
96.3,96.3,96.3,96.2,3800,2021-11-05 03:16:00+00:00
96.3,96.3,96.3,96.2,2300,2021-11-05 03:17:00+00:00
96.3,96.2,96.3,96.2,3300,2021-11-05 03:18:00+00:00
96.3,96.3,96.3,96.3,4300,2021-11-05 03:19:00+00:00
96.3,96.3,96.3,96.3,400,2021-11-05 03:20:00+00:00
96.2,96.2,96.3,96.2,4600,2021-11-05 03:21:00+00:00
96.2,96.2,96.2,96.2,700,2021-11-05 03:22:00+00:00
96.2,96.2,96.2,96.2,5300,2021-11-05 03:23:00+00:00
